Victim Age,Lat,Lng,Address,Zip code,Population
22.0,34.1006,-118.3387,"Highland Avenue, Los Angeles, CA 90028, United States of America",90028,45151
30.0,33.7636,-118.2961,"2101 Barrywood Avenue, Los Angeles, CA 90731, United States of America",90731,54099
21.0,33.7324,-118.2857,"398 West 13th Street, Los Angeles, CA 90731, United States of America",90731,54099
49.0,34.1347,-118.3427,"3481 Barham Boulevard, Los Angeles, CA 90068, United States of America",90068,2424
60.0,34.1042,-118.3383,"1855 Highland Avenue, Los Angeles, CA 90028, United States of America",90028,45151
73.0,34.0762,-118.3441,"Chevron, Beverly Boulevard, Los Angeles, CA 90036-2829, United States of America",90036,28418
39.0,34.0967,-118.3056,"Hobart Boulevard, Los Angeles, CA 90029-3737, United States of America",90029,28714
48.0,34.0871,-118.3266,"Vine & Willoughby, Vine Street, Los Angeles, CA 90038, United States of America",90038,62276
68.0,34.0342,-118.3609,"5400 Apple Street, Los Angeles, CA 90016, United States of America",90016,18986
63.0,34.0962,-118.338,"1400 North McCadden Place, Los Angeles, CA 90028, United States of America",90028,45151
35.0,34.0944,-118.3277,"Crispy Crust, Fountain Avenue, Los Angeles, CA 90028-8127, United States of America",90028,45151
21.0,33.7324,-118.2857,"398 West 13th Street, Los Angeles, CA 90731, United States of America",90731,54099
61.0,34.1052,-118.3375,"1862 Highland Avenue, Los Angeles, CA 90028, United States of America",90028,45151
37.0,34.0981,-118.3022,"Mike Asatrayan DDS, West Sunset Boulevard, Los Angeles, CA 90029-2631, United States of America",90029,28714
37.0,34.0981,-118.3022,"Mike Asatrayan DDS, West Sunset Boulevard, Los Angeles, CA 90029-2631, United States of America",90029,28714
55.0,34.0944,-118.3386,"Fountain Avenue, Los Angeles, CA 90028-8127, United States of America",90028,45151
62.0,34.098,-118.3425,"Days Inn Hollywood/Universal Studios, 7023 West Sunset Boulevard, Los Angeles, CA 90046-4101, United States of America",90046,39480
72.0,34.0491,-118.3761,"La Cienega Boulevard, Los Angeles, CA 90064, United States of America",90064,55758
41.0,34.1173,-118.3379,"Cahuenga Boulevard West, Los Angeles, CA 90068, United States of America",90068,2424
76.0,34.0496,-118.3425,"4900 San Vicente Boulevard, Los Angeles, CA 90019, United States of America",90019,49310
37.0,34.0981,-118.3022,"Mike Asatrayan DDS, West Sunset Boulevard, Los Angeles, CA 90029-2631, United States of America",90029,28714
40.0,34.1016,-118.3295,"6380 Hollywood Boulevard, Los Angeles, CA 90028, United States of America",90028,45151
38.0,34.0871,-118.3321,"6350 Willoughby Avenue, Los Angeles, CA 90038, United States of America",90038,62276
21.0,33.7324,-118.2857,"398 West 13th Street, Los Angeles, CA 90731, United States of America",90731,54099
76.0,34.0496,-118.3425,"4900 San Vicente Boulevard, Los Angeles, CA 90019, United States of America",90019,49310
30.0,33.7636,-118.2961,"2101 Barrywood Avenue, Los Angeles, CA 90731, United States of America",90731,54099
37.0,34.0981,-118.3022,"Mike Asatrayan DDS, West Sunset Boulevard, Los Angeles, CA 90029-2631, United States of America",90029,28714
35.0,34.0944,-118.3277,"Crispy Crust, Fountain Avenue, Los Angeles, CA 90028-8127, United States of America",90028,45151
18.0,33.8698,-118.2858,"601 West 182nd Street, Los Angeles, CA 90248, United States of America",90248,47487
