Victim Age,Time Occurred,Lat,Lng
22.0,2315,34.1006,-118.3387
30.0,1520,33.7636,-118.2961
21.0,1700,33.7324,-118.2857
49.0,1000,34.0871,-118.3266
60.0,650,34.0981,-118.3158
73.0,1820,34.0981,-118.3109
39.0,920,34.0967,-118.3056
48.0,800,34.0862,-118.3091
68.0,1755,0.0,0.0
63.0,1620,34.098,-118.3425
35.0,1455,34.0944,-118.3277
21.0,1700,33.7324,-118.2857
61.0,1745,34.1042,-118.3383
37.0,1815,34.0981,-118.3022
37.0,1815,34.0981,-118.3022
55.0,1930,34.0836,-118.3051
62.0,2305,34.1052,-118.3375
72.0,2205,34.0385,-118.2491
41.0,1000,34.1173,-118.3379
76.0,2230,34.0762,-118.3441
37.0,1815,34.0981,-118.3022
40.0,1015,34.1016,-118.3295
38.0,810,34.0871,-118.3321
21.0,1700,33.7324,-118.2857
76.0,2230,34.0762,-118.3441
30.0,1520,33.7636,-118.2961
37.0,1815,34.0981,-118.3022
35.0,1455,34.0944,-118.3277
18.0,1350,33.8698,-118.2858
24.0,1020,33.7749,-118.2764
54.0,245,34.0907,-118.3332
39.0,920,34.0967,-118.3056
52.0,940,34.1017,-118.318
49.0,1000,34.0871,-118.3266
62.0,2305,34.1052,-118.3375
49.0,1000,34.0871,-118.3266
28.0,1500,33.727,-118.2924
53.0,2245,34.0998,-118.3324
60.0,650,34.0981,-118.3158
18.0,1350,33.8698,-118.2858
22.0,2315,34.1006,-118.3387
60.0,650,34.0981,-118.3158
34.0,1025,34.0939,-118.3092
18.0,1350,33.8698,-118.2858
32.0,1550,33.7352,-118.2923
37.0,1815,34.0981,-118.3022
37.0,1815,34.0981,-118.3022
54.0,245,34.0907,-118.3332
52.0,940,34.1017,-118.318
40.0,1015,34.1016,-118.3295
22.0,2315,34.1006,-118.3387
34.0,1025,34.0939,-118.3092
40.0,1015,34.1016,-118.3295
65.0,1910,34.1052,-118.3375
33.0,1150,34.0928,-118.3109
30.0,1520,33.7636,-118.2961
25.0,1618,33.7907,-118.2729
28.0,1500,33.727,-118.2924
34.0,1025,34.0939,-118.3092
29.0,745,33.7433,-118.2923
50.0,1115,34.1347,-118.3427
28.0,1500,33.727,-118.2924
26.0,1700,33.7315,-118.2814
24.0,1020,33.7749,-118.2764
31.0,305,33.7909,-118.251
18.0,1350,33.8698,-118.2858
30.0,1520,33.7636,-118.2961
67.0,2320,34.044,-118.3263
27.0,2125,33.7351,-118.2804
53.0,2245,34.0998,-118.3324
30.0,1520,33.7636,-118.2961
20.0,1855,34.0211,-118.3089
26.0,1700,33.7315,-118.2814
24.0,1020,33.7749,-118.2764
35.0,1455,34.0944,-118.3277
28.0,1500,33.727,-118.2924
66.0,2030,34.0326,-118.2589
46.0,1852,34.1053,-118.318
24.0,1020,33.7749,-118.2764
43.0,1550,34.098,-118.3303
52.0,940,34.1017,-118.318
20.0,1855,34.0211,-118.3089
39.0,920,34.0967,-118.3056
35.0,1455,34.0944,-118.3277
27.0,2125,33.7351,-118.2804
46.0,1852,34.1053,-118.318
33.0,1150,34.0928,-118.3109
18.0,1350,33.8698,-118.2858
24.0,1020,33.7749,-118.2764
19.0,850,33.7894,-118.2936
22.0,2315,34.1006,-118.3387
58.0,1015,34.0944,-118.3375
57.0,1532,34.104,-118.3755
42.0,1830,34.1158,-118.3258
50.0,1115,34.1347,-118.3427
30.0,1520,33.7636,-118.2961
39.0,920,34.0967,-118.3056
84.0,2140,34.0418,-118.3269
99.0,940,34.0487,-118.4618
23.0,2250,33.7806,-118.2507
37.0,1815,34.0981,-118.3022
32.0,1550,33.7352,-118.2923
60.0,650,34.0981,-118.3158
68.0,1755,0.0,0.0
41.0,1000,34.1173,-118.3379
27.0,2125,33.7351,-118.2804
22.0,2315,34.1006,-118.3387
26.0,1700,33.7315,-118.2814
27.0,2125,33.7351,-118.2804
22.0,2315,34.1006,-118.3387
36.0,1520,34.1034,-118.3325
36.0,1520,34.1034,-118.3325
18.0,1350,33.8698,-118.2858
66.0,2030,34.0326,-118.2589
60.0,650,34.0981,-118.3158
43.0,1550,34.098,-118.3303
58.0,1015,34.0944,-118.3375
22.0,2315,34.1006,-118.3387
42.0,1830,34.1158,-118.3258
18.0,1350,33.8698,-118.2858
32.0,1550,33.7352,-118.2923
41.0,1000,34.1173,-118.3379
24.0,1020,33.7749,-118.2764
18.0,1350,33.8698,-118.2858
28.0,1500,33.727,-118.2924
36.0,1520,34.1034,-118.3325
40.0,1015,34.1016,-118.3295
21.0,1700,33.7324,-118.2857
29.0,745,33.7433,-118.2923
26.0,1700,33.7315,-118.2814
69.0,2245,34.0443,-118.3538
67.0,2320,34.044,-118.3263
26.0,1700,33.7315,-118.2814
67.0,2320,34.044,-118.3263
60.0,650,34.0981,-118.3158
18.0,1350,33.8698,-118.2858
61.0,1745,34.1042,-118.3383
99.0,940,34.0487,-118.4618
24.0,1020,33.7749,-118.2764
51.0,1000,34.1112,-118.3358
29.0,745,33.7433,-118.2923
88.0,1420,34.0562,-118.3449
21.0,1700,33.7324,-118.2857
22.0,2315,34.1006,-118.3387
60.0,650,34.0981,-118.3158
18.0,1350,33.8698,-118.2858
42.0,1830,34.1158,-118.3258
90.0,200,34.0753,-118.3858
18.0,1350,33.8698,-118.2858
62.0,2305,34.1052,-118.3375
52.0,940,34.1017,-118.318
22.0,2315,34.1006,-118.3387
33.0,1150,34.0928,-118.3109
29.0,745,33.7433,-118.2923
58.0,1015,34.0944,-118.3375
23.0,2250,33.7806,-118.2507
44.0,135,34.0538,-118.256
60.0,650,34.0981,-118.3158
22.0,2315,34.1006,-118.3387
17.0,2115,33.7306,-118.3012
47.0,2015,34.1016,-118.3414
42.0,1830,34.1158,-118.3258
34.0,1025,34.0939,-118.3092
30.0,1520,33.7636,-118.2961
73.0,1820,34.0981,-118.3109
38.0,810,34.0871,-118.3321
33.0,1150,34.0928,-118.3109
